number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
75169-1,Star Wars,Episode I,2017,Duel on Naboo,3,208,26.2128,19.1008,6.096,1/1/17,31/12/2018
8011-1,Star Wars,Technic,2002,Jango Fett,,422,24,28.8,6,23/04/2002,31/12/2003
7655-1,Star Wars,Episode III,2007,Clone Troopers Battle Pack,4,58,19.2,14.4,4.8,1/1/07,31/07/2008
75534-1,Star Wars,Buildable Figures,2018,Darth Vader,,168,19.1,26.2,6.1,1/1/18,31/12/2018
75302-1,Star Wars,Episode VI,2021,Imperial Shuttle,3,660,35.4,37.8,7.1,1/3/21,31/12/2022
75318-1,Star Wars,The Mandalorian,2020,The Child,1,1073,26.2,38.2,11.8,30/10/2020,31/12/2023
75304-1,Star Wars,Helmet Collection,2021,Darth Vader Helmet,,834,19.1,35.4,11.8,26/04/2021,31/12/2023
7915-1,Star Wars,Legends,2011,Imperial V-wing Starfighter,2,139,28.19,26.19,4.6,1/1/11,31/12/2012
75278-1,Star Wars,The Rise of Skywalker,2020,D-O,1,519,26.2,38.2,7.1,19/04/2020,31/07/2021
4477-1,Star Wars,Episode IV,2003,T-16 Skyhopper ,1,98,19.2,19.2,4.8,1/1/03,31/12/2003
7956-1,Star Wars,Episode VI,2011,Ewok Attack,3,166,28.19,26.19,4.6,1/6/11,31/12/2012
75002-1,Star Wars,The Clone Wars,2013,AT-RT,4,222,19.1,26.2,4.6,1/1/13,31/12/2014
75141-1,Star Wars,Rebels,2016,Kanan's Speeder Bike,3,234,26.2,14.1,6.1,1/1/16,31/07/2017
7657-1,Star Wars,Episode VI,2007,AT-ST,1,244,28.8,28.8,6,1/1/07,31/07/2008
7124-1,Star Wars,Episode I,2000,Flash Speeder,1,106,19.2,14.4,4.8,1/1/00,31/12/2001
75249-1,Star Wars,The Rise of Skywalker,2019,Resistance Y-wing Starfighter,5,578,38.2,26.2,5.7,4/10/19,31/12/2021
6205-1,Star Wars,Episode III,2006,V-wing Fighter,1,118,24,14.4,6,1/1/06,31/12/2007
8086-1,Star Wars,The Clone Wars,2010,Droid Tri-Fighter,3,268,28.19,26.19,6.4,1/1/10,31/12/2011
75183-1,Star Wars,Episode III,2017,Darth Vader Transformation ,6,282,26.2128,19.1008,6.096,1/6/17,31/07/2019
7654-1,Star Wars,Episode III,2007,Droids Battle Pack,7,102,19.2,14.4,4.8,1/1/07,31/07/2008
75090-1,Star Wars,Rebels,2015,Ezra's Speeder Bike,3,253,26.1874,14.097,6.096,1/1/15,31/12/2015
66534-1,Star Wars,Product Collection,2015,Microfighter 3 in 1 Super Pack,,288,,,,,
75035-1,Star Wars,Episode III,2014,Kashyyyk Troopers,4,99,19.1008,14.097,4.5974,1/1/14,31/07/2015
75242-1,Star Wars,Resistance,2019,Black Ace TIE Interceptor,3,396,35.4,19.1,7,1/4/19,31/12/2020
75343-1,Star Wars,Helmet Collection,2022,Dark Trooper Helmet,,693,19.1,35.4,9.1,1/3/22,31/12/2023
7749-1,Star Wars,Episode V,2009,Echo Base,5,155,28.2,26.2,6.4,1/6/09,31/12/2010
7104-1,Star Wars,Episode VI,2000,Desert Skiff,2,55,19.2,9.6,4.8,1/1/00,31/12/2001
75536-1,Star Wars,Buildable Figures,2018,Range Trooper,,101,14.1,26.2,6.1,20/04/2018,31/12/2018
75205-1,Star Wars,Episode IV,2018,Mos Eisley Cantina,4,376,28.2,26.2,5.9,1/1/18,31/12/2018
7913-1,Star Wars,The Clone Wars,2011,Clone Trooper Battle Pack,4,85,19.1,14.1,4.6,1/1/11,31/12/2012
7204-1,Star Wars,Episode I,2002,Jedi Defense II,3,53,14.4,14.4,3.9,1/1/02,31/12/2002
7251-1,Star Wars,Episode III,2005,Darth Vader Transformation,3,53,14.4,14.4,6,2/4/05,31/12/2005
75003-1,Star Wars,Episode VI,2013,A-wing Starfighter,3,177,26.2,19.1,6.1,1/1/13,31/12/2014
7119-1,Star Wars,Episode V,2002,Twin-Pod Cloud Car,1,118,19.2,14.4,6,1/1/02,31/12/2003
75201-1,Star Wars,The Last Jedi,2018,First Order AT-ST,4,370,28.2,26.2,5.9,1/1/18,31/12/2018
75277-1,Star Wars,Helmet Collection,2020,Boba Fett Helmet,,625,19.1,35.4,11.8,19/04/2020,31/12/2022
6963-1,Star Wars,Mini Building Set,2004,X-wing Fighter,,41,,,,,
75325-1,Star Wars,The Book of Boba Fett,2022,The Mandalorian's N-1 Starfighter,4,412,38.2,26.2,5.7,1/6/22,31/12/2024
75199-1,Star Wars,The Clone Wars,2018,General Grievous' Combat Speeder,2,157,26.2,19.1,4.6,1/1/18,31/12/2019
7106-1,Star Wars,Episode IV,2001,Droid Escape,2,45,19.2,9.6,6,1/1/01,31/12/2001
66536-1,Star Wars,Product Collection,2015,Battle Pack 2 in 1,,243,,,,,
